area,category_searched,name,address,rating,review_count,website,phone,types,business_status,price_level
"Burari, Delhi",restaurants,"Royal Regal Cafe, Lounge & Restra","First Floor, kh. No. 540, Main Road, opposite Shalimar Palace, near Aapka Budget Bazaar, Data Ram Tyagi Enclave, Block A, Extension Colony, Burari, Delhi, 110084, India",4.7,1056.0,,093197 61115,"north_indian_restaurant, indian_restaurant, restaurant, food, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",restaurants,Road Bench Cafe family restaurant,"1st floor, near Medlife hospital and Bata showroom, Block D, Kamal Pur, Burari, Delhi, 110084, India",4.3,337.0,,085859 57900,"family_restaurant, restaurant, food, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",restaurants,FOOD PITARRA,"Kh. No- 457/1, near Shalimar Palace, opposite Vindhya Shree Appartment, Indraprasth Colony, Burari, Delhi, 110084, India",4.2,451.0,https://www.facebook.com/FoodPitarra/,073037 70072,"family_restaurant, restaurant, food, point_of_interest, establishment",OPERATIONAL,PRICE_LEVEL_MODERATE
"Burari, Delhi",restaurants,Mittal Sweets and Snacks,"Kh. No. 828, 100, Futta Main Road, Prem Nagar, Baba Colony, Burari, Delhi, 110084, India",4.6,1276.0,https://www.mittalsweetandsnacks.com/,098997 73223,"restaurant, gift_shop, banquet_hall, fine_dining_restaurant, swimming_pool, bakery, event_venue, sports_activity_location, service, food_store, store, food, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",restaurants,Meet and Treat Cafe,"Street Number 4, near by Muthoot finance, A-2 Block, Virendar Nagar, Block B, West Sant Nagar, Burari, Delhi, 110084, India",4.6,504.0,https://meet-and-treat-cafe.grexa.site/,090131 61184,"restaurant, food, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",restaurants,Zaiyka lo ji,"Street no 16, Tomar colony, B-330, Tomar Colony, Burari, Kamal Pur, Burari, Delhi, 110084, India",4.9,110.0,,070420 66637,"restaurant, food, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",restaurants,Zaiyka Punjab,"Labour chowk, Sant Nagar Marg, Parvatiya Anchal, Block B, Sant Nagar, Burari, New Delhi, Delhi, 110084, India",3.9,1454.0,https://zaikarestaurant.org/,099901 07009,"pakistani_restaurant, north_indian_restaurant, indian_restaurant, restaurant, food, point_of_interest, establishment",OPERATIONAL,PRICE_LEVEL_MODERATE
"Burari, Delhi",restaurants,Utsav Dhaba,"Kh.No. 47/1 ,Gali No. 01 , Kaushik Enclave Main, 100ft, Road, opposite Burari Government hospital, Block D, Indraprasth Colony, Burari, Delhi, 110084, India",4.4,193.0,,088088 80900,"indian_restaurant, restaurant, food, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",restaurants,Roms Pizza Burari,"108, 100 Feet Rd, Virendar Nagar, Block B, Sant Nagar, Burari, Delhi, 110084, India",4.8,1520.0,https://romspizzaburari.edgeone.app/,097187 07077,"pizza_restaurant, restaurant, food, point_of_interest, establishment",OPERATIONAL,
"Burari, Delhi",restaurants,Royal Delhi Family Restaurant,"Shop No 5 Ground Floor, Main 100, Foota Rd, opp. Raj Mandir, Vijay Colony, Block B, West Sant Nagar, Burari, Delhi, 110084, India",4.8,21.0,https://g.page/r/CfFeR9pYUVdqEBM/review,088008 75466,"restaurant, food, point_of_interest, establishment",OPERATIONAL,
