name,area,pincode,category_searched,rating,review_count,review_outlier,has_website,has_phone,has_price_info,price_level_clean,num_types,business_status
"Royal Regal Cafe, Lounge & Restra","Burari, Delhi",110084,restaurants,4.7,1056,0,0,1,0,,6,OPERATIONAL
Road Bench Cafe family restaurant,"Burari, Delhi",110084,restaurants,4.3,337,0,0,1,0,,5,OPERATIONAL
FOOD PITARRA,"Burari, Delhi",110084,restaurants,4.2,451,0,1,1,1,2.0,5,OPERATIONAL
Mittal Sweets and Snacks,"Burari, Delhi",110084,restaurants,4.6,1276,0,1,1,0,,14,OPERATIONAL
Meet and Treat Cafe,"Burari, Delhi",110084,restaurants,4.6,504,0,1,1,0,,4,OPERATIONAL
Zaiyka lo ji,"Burari, Delhi",110084,restaurants,4.9,110,0,0,1,0,,4,OPERATIONAL
Zaiyka Punjab,"Burari, Delhi",110084,restaurants,3.9,1454,0,1,1,1,2.0,7,OPERATIONAL
Utsav Dhaba,"Burari, Delhi",110084,restaurants,4.4,193,0,0,1,0,,5,OPERATIONAL
Roms Pizza Burari,"Burari, Delhi",110084,restaurants,4.8,1520,0,1,1,0,,5,OPERATIONAL
Royal Delhi Family Restaurant,"Burari, Delhi",110084,restaurants,4.8,21,0,1,1,0,,4,OPERATIONAL
MISHRI LAL JI KI RASOI BURARI,"Burari, Delhi",110084,restaurants,4.9,43,0,1,1,0,,4,OPERATIONAL
GARHWAL PUNJABI TADKA,"Burari, Delhi",110084,restaurants,3.7,268,0,1,1,0,,7,OPERATIONAL
Tasty bite restaurant,"Burari, Delhi",110084,restaurants,3.7,1127,0,0,1,1,2.0,5,OPERATIONAL
DEV दिल्ली restaurant,"Burari, Delhi",110084,restaurants,4.7,80,0,0,1,0,,5,OPERATIONAL
Delhi Grillz restaurant,"Burari, Delhi",110084,restaurants,4.0,530,0,0,1,0,,6,OPERATIONAL
The Food Paradise by Arun,"Burari, Delhi",110084,restaurants,4.8,17,0,0,1,0,,4,OPERATIONAL
WAH JI WAH restaurant Burari,"Burari, Delhi",110084,restaurants,3.7,49,0,0,1,0,,4,OPERATIONAL
JAI SHREE RESTAURANT BANQUET HOTEL,"Burari, Delhi",110084,restaurants,4.1,1129,0,0,1,1,2.0,13,OPERATIONAL
"Burari 84, The Authentic Indian Kitchen","Burari, Delhi",110084,restaurants,3.2,52,0,0,1,0,,5,OPERATIONAL
Shree ji SWAD,"Burari, Delhi",110084,restaurants,4.7,27,0,0,1,0,,4,OPERATIONAL
Tealogy Cafe Burari,"Burari, Delhi",110084,cafes,4.8,641,0,1,1,0,,4,OPERATIONAL
#Foodcafe,"Burari, Delhi",110084,cafes,4.9,16,0,0,1,0,,4,OPERATIONAL
Delhi Foodie Cafe (DFC),"Burari, Delhi",110084,cafes,4.4,57,0,0,1,0,,4,OPERATIONAL
DX Cafe,"Burari, Delhi",110084,cafes,4.9,44,0,0,1,0,,7,OPERATIONAL
The old smoke cafe,"Burari, Delhi",110084,cafes,3.4,97,0,0,0,0,,3,OPERATIONAL
The Delicious Cafe,"Burari, Delhi",110084,cafes,4.4,39,0,1,1,0,,5,OPERATIONAL
URBAN EATS CAFE,"Burari, Delhi",110084,cafes,4.9,123,0,1,1,0,,8,OPERATIONAL
Chaap N Tandor Tadkaa,"Burari, Delhi",110084,cafes,4.9,327,0,0,1,0,,11,OPERATIONAL
Bhukhkhad Adda,"Burari, Delhi",110084,cafes,5.0,108,0,0,1,0,,4,OPERATIONAL
THE VEGGIE GRILL CAFE,"Burari, Delhi",110084,cafes,5.0,22,0,0,1,0,,4,OPERATIONAL
Shriram's Cafe,"Burari, Delhi",110084,cafes,5.0,20,0,0,1,0,,4,OPERATIONAL
COFFEE ART HOUSE,"Burari, Delhi",110084,cafes,4.9,45,0,0,0,0,,4,OPERATIONAL
Le Food Gallery,"Burari, Delhi",110084,cafes,4.4,33,0,0,1,0,,5,OPERATIONAL
The hello cafe,"Burari, Delhi",110084,cafes,4.5,17,0,0,0,0,,9,OPERATIONAL
The Royal Cafe,"Burari, Delhi",110084,cafes,5.0,8,0,0,1,0,,6,OPERATIONAL
Tress Trends Unisex Salon,"Burari, Delhi",110084,salons,4.7,562,0,1,1,0,,8,OPERATIONAL
BM Unisex Salon & Academy,"Burari, Delhi",110084,salons,4.8,236,0,0,1,0,,4,OPERATIONAL
"The Valid Unisex Salon - Best Makeup Artist in Delhi, Bridal Makeup Artist, Nail Extension & Beauty Parlour in Burari, Delhi","Burari, Delhi",110084,salons,4.5,91,0,1,1,0,,13,OPERATIONAL
Swanky unisex salon,"Burari, Delhi",110084,salons,4.4,188,0,0,1,0,,4,OPERATIONAL
The w salon & academy,"Burari, Delhi",110084,salons,4.3,413,0,0,1,0,,11,OPERATIONAL
