name,area,pincode,category_searched,rating,review_count,review_outlier,has_website,has_phone,has_price_info,price_level_clean,num_types,business_status,website_propensity_score
"Royal Regal Cafe, Lounge & Restra","Burari, Delhi",110084.0,restaurants,4.7,1056.0,0,0,1,0,0.0,6,OPERATIONAL,0.551696101107199
Road Bench Cafe family restaurant,"Burari, Delhi",110084.0,restaurants,4.3,337.0,0,0,1,0,0.0,5,OPERATIONAL,0.46880604735521825
FOOD PITARRA,"Burari, Delhi",110084.0,restaurants,4.2,451.0,0,1,1,1,2.0,5,OPERATIONAL,0.6186032349217541
Mittal Sweets and Snacks,"Burari, Delhi",110084.0,restaurants,4.6,1276.0,0,1,1,0,0.0,14,OPERATIONAL,0.7454655987074124
Meet and Treat Cafe,"Burari, Delhi",110084.0,restaurants,4.6,504.0,0,1,1,0,0.0,4,OPERATIONAL,0.5811903754095423
Zaiyka lo ji,"Burari, Delhi",110084.0,restaurants,4.9,110.0,0,0,1,0,0.0,4,OPERATIONAL,0.3885852614451225
Zaiyka Punjab,"Burari, Delhi",110084.0,restaurants,3.9,1454.0,0,1,1,1,2.0,7,OPERATIONAL,0.5968071294757407
Utsav Dhaba,"Burari, Delhi",110084.0,restaurants,4.4,193.0,0,0,1,0,0.0,5,OPERATIONAL,0.46253896849661164
Roms Pizza Burari,"Burari, Delhi",110084.0,restaurants,4.8,1520.0,0,1,1,0,0.0,5,OPERATIONAL,0.5687894327721864
Royal Delhi Family Restaurant,"Burari, Delhi",110084.0,restaurants,4.8,21.0,0,1,1,0,0.0,4,OPERATIONAL,0.34226909573957703
MISHRI LAL JI KI RASOI BURARI,"Burari, Delhi",110084.0,restaurants,4.9,43.0,0,1,1,0,0.0,4,OPERATIONAL,0.3932290928613159
GARHWAL PUNJABI TADKA,"Burari, Delhi",110084.0,restaurants,3.7,268.0,0,1,1,0,0.0,7,OPERATIONAL,0.5558567154876677
Tasty bite restaurant,"Burari, Delhi",110084.0,restaurants,3.7,1127.0,0,0,1,1,2.0,5,OPERATIONAL,0.4760630426734272
DEV दिल्ली restaurant,"Burari, Delhi",110084.0,restaurants,4.7,80.0,0,0,1,0,0.0,5,OPERATIONAL,0.36817108761551254
Delhi Grillz restaurant,"Burari, Delhi",110084.0,restaurants,4.0,530.0,0,0,1,0,0.0,6,OPERATIONAL,0.40396998324648903
The Food Paradise by Arun,"Burari, Delhi",110084.0,restaurants,4.8,17.0,0,0,1,0,0.0,4,OPERATIONAL,0.29813384150354644
WAH JI WAH restaurant Burari,"Burari, Delhi",110084.0,restaurants,3.7,49.0,0,0,1,0,0.0,4,OPERATIONAL,0.21074278633598129
JAI SHREE RESTAURANT BANQUET HOTEL,"Burari, Delhi",110084.0,restaurants,4.1,1129.0,0,0,1,1,2.0,13,OPERATIONAL,0.687849305711941
"Burari 84, The Authentic Indian Kitchen","Burari, Delhi",110084.0,restaurants,3.2,52.0,0,0,1,0,0.0,5,OPERATIONAL,0.1933704778327906
Shree ji SWAD,"Burari, Delhi",110084.0,restaurants,4.7,27.0,0,0,1,0,0.0,4,OPERATIONAL,0.3202269575429854
Tealogy Cafe Burari,"Burari, Delhi",110084.0,cafes,4.8,641.0,0,1,1,0,0.0,4,OPERATIONAL,0.6202199662723632
"Royal Regal Cafe, Lounge & Restra","Burari, Delhi",110084.0,cafes,4.7,1056.0,0,0,1,0,0.0,6,OPERATIONAL,0.5396974077390516
Meet and Treat Cafe,"Burari, Delhi",110084.0,cafes,4.6,504.0,0,1,1,0,0.0,4,OPERATIONAL,0.5852404864358081
Road Bench Cafe family restaurant,"Burari, Delhi",110084.0,cafes,4.3,337.0,0,0,1,0,0.0,5,OPERATIONAL,0.44634565758536515
#Foodcafe,"Burari, Delhi",110084.0,cafes,4.9,16.0,0,0,1,0,0.0,4,OPERATIONAL,0.249647357230424
Delhi Foodie Cafe (DFC),"Burari, Delhi",110084.0,cafes,4.4,57.0,0,0,1,0,0.0,4,OPERATIONAL,0.2938551170265768
DX Cafe,"Burari, Delhi",110084.0,cafes,4.9,44.0,0,0,1,0,0.0,7,OPERATIONAL,0.4497018364577386
The old smoke cafe,"Burari, Delhi",110084.0,cafes,3.4,97.0,0,0,0,0,0.0,3,OPERATIONAL,0.24622619138954677
The Delicious Cafe,"Burari, Delhi",110084.0,cafes,4.4,39.0,0,1,1,0,0.0,5,OPERATIONAL,0.335578889137923
URBAN EATS CAFE,"Burari, Delhi",110084.0,cafes,4.9,123.0,0,1,1,0,0.0,8,OPERATIONAL,0.5518567634963086
Chaap N Tandor Tadkaa,"Burari, Delhi",110084.0,cafes,4.9,327.0,0,0,1,0,0.0,11,OPERATIONAL,0.5992455201719955
Mittal Sweets and Snacks,"Burari, Delhi",110084.0,cafes,4.6,1276.0,0,1,1,0,0.0,14,OPERATIONAL,0.7597439893820016
Bhukhkhad Adda,"Burari, Delhi",110084.0,cafes,5.0,108.0,0,0,1,0,0.0,4,OPERATIONAL,0.3286670331463843
THE VEGGIE GRILL CAFE,"Burari, Delhi",110084.0,cafes,5.0,22.0,0,0,1,0,0.0,4,OPERATIONAL,0.2569424511045648
Shriram's Cafe,"Burari, Delhi",110084.0,cafes,5.0,20.0,0,0,1,0,0.0,4,OPERATIONAL,0.25355832526823063
COFFEE ART HOUSE,"Burari, Delhi",110084.0,cafes,4.9,45.0,0,0,0,0,0.0,4,OPERATIONAL,0.31045080696881006
FOOD PITARRA,"Burari, Delhi",110084.0,cafes,4.2,451.0,0,1,1,1,2.0,5,OPERATIONAL,0.6006621489583842
Le Food Gallery,"Burari, Delhi",110084.0,cafes,4.4,33.0,0,0,1,0,0.0,5,OPERATIONAL,0.30003583081197804
