name,area,category_searched,rating,review_count,website_propensity_score,lead_score
Daisy Ladies Salon,"Civil Lines, Delhi",salons,4.7,3247.0,0.7999680330102873,0.8517769310656786
Gola Sizzlers Preet Vihar- Luxury dining and party hall,"Laxmi Nagar, Delhi",restaurants,4.5,3726.0,0.7934298323329468,0.8485496715603984
The GT Road,"Connaught Place, New Delhi",restaurants,4.3,10552.0,0.7822483606947391,0.845290115462096
Bbeauters beauty & wellness clinic,"Pitampura, Delhi",clinics,4.9,430.0,0.8287547428376133,0.8301196694672981
"Mahabir Danwar Jewellers - Diamond and Gold Jewellery Shop | Jadau, Polki, Kundan Jewellery Shop | Pitam Pura, Delhi","Pitampura, Delhi",jewellery shops,4.9,679.0,0.8089360263561228,0.830104699418144
H2B Salon,"Civil Lines, Delhi",salons,4.8,2280.0,0.7694197196835266,0.8258515892455965
SAHA JEWELLERS - ONE GRAM GOLD JEWELLERY,"Karol Bagh, Delhi",jewellery shops,4.8,355.0,0.8274843738912726,0.8214708956339254
SMUK SALON,"Saket, Delhi",salons,4.8,1415.0,0.7713417900046359,0.8202160696122416
Firstcry.com Store Delhi Malviya Nagar,"Malviya Nagar, Delhi",grocery stores,4.9,1366.0,0.771255340026009,0.8196884265995212
Pooja Dental Clinic,"Kalkaji, Delhi",clinics,4.9,1184.0,0.7704768974801067,0.8159774268519917
Appearance Unisex Salon ( Best salon Near me),"Civil Lines, Delhi",salons,4.8,1024.0,0.7740210392809618,0.8149548659049777
Nagi Jewellers,"Punjabi Bagh, Delhi",jewellery shops,4.8,776.0,0.7807516092758007,0.8128150538287006
Manju's the world of glamour,"Rohini, Delhi",salons,4.9,1325.0,0.7585765189178902,0.810086608225222
Amba Jewellers Pvt. Ltd. - Jewellery Shop In Lajpat Nagar,"Lajpat Nagar, Delhi",jewellery shops,4.7,1216.0,0.759240915988004,0.8092022052054435
Cafeteria & Co.,"Model Town, Delhi",restaurants,4.4,13486.0,0.7285460773152848,0.8085808700376543
Cut & Style Janakpuri block B,"Janakpuri, Delhi",salons,4.8,1619.0,0.7508746201347143,0.8080170783849574
Daisy Ladies Salon,"Kamla Nagar, Delhi",salons,4.7,3247.0,0.736736765268622,0.8075150436465128
Shahi Jewellers Rohini - Best Jeweller In Rohini,"Rohini, Delhi",jewellery shops,4.9,1201.0,0.7579168969398439,0.8074968451589288
Gola Sizzlers Preet Vihar- Luxury dining and party hall,"Preet Vihar, Delhi",cafes,4.5,3726.0,0.7331876234949927,0.8063801253738305
