id,title,release_date,popularity,vote_average,vote_count,original_language,genres,budget,revenue,runtime,Genre_Action,Genre_Adventure,Genre_Comedy,Genre_Drama,Genre_Horror,Genre_Romance,Genre_Sci-Fi,Genre_Thriller,Genre_Animation,Genre_Fantasy,Release_Year,Has_Budget,Log_Budget,Log_Revenue,Log_Popularity,Log_Vote_Count,ROI
1368337,The Odyssey,2026-07-15,979.0823,8.0,1313,en,Adventure|Action|Fantasy,250000000,322043315,173,1,1,0,0,0,0,0,0,0,1,2026,1,19.33697147982652,19.590196616200576,6.887636547730366,7.1808311990445555,1.28817326
1275779,Disclosure Day,2026-06-10,558.4583,7.226,1558,en,Science Fiction|Thriller,115000000,237274086,146,0,0,0,0,0,0,0,1,0,0,2026,1,18.560442695023177,19.284726516117562,6.3269689941433205,7.351799869057777,2.06325292173913
1108427,Moana,2026-07-08,515.4828,5.9,138,en,Family|Fantasy|Comedy|Adventure,250000000,183581607,115,0,1,1,0,0,0,0,0,0,1,2026,1,19.33697147982652,19.028169856840947,6.24704198694034,4.9344739331306915,0.734326428
1339713,Obsession,2026-05-13,407.6643,8.242,3609,en,Horror|Thriller,750000,447862498,109,0,0,0,0,1,0,0,1,0,0,2026,1,13.527829818844937,19.9199968213941,6.0128940366204136,8.191463051326927,597.1499973333333
1083381,Backrooms,2026-05-27,385.4853,7.087,2041,en,Horror|Mystery|Science Fiction,10000000,387700748,111,0,0,0,0,1,0,0,0,0,0,2026,1,16.118095750958314,19.775744334545404,5.957093833668992,7.621684998724611,38.7700748
1315772,Minions & Monsters,2026-06-24,333.0288,6.399,223,en,Adventure|Animation|Comedy|Family|Fantasy,85000000,363645130,90,0,1,1,0,0,0,0,0,1,1,2026,1,18.258161826219297,19.711689035227284,5.811227216804229,5.4116460518550396,4.278178
1081003,Supergirl,2026-06-24,364.8746,6.145,518,en,Action|Adventure|Science Fiction,175000000,120067228,108,1,1,0,0,0,0,0,0,0,0,2026,1,18.980296537602072,18.603562385536215,5.902290651741893,6.251903883165888,0.6860984457142857
1084244,Toy Story 5,2026-06-17,322.0636,7.423,692,en,Animation|Family|Comedy|Adventure,250000000,958418566,102,0,1,1,0,0,0,0,0,1,0,2026,1,19.33697147982652,20.680795158050994,5.777849207864371,6.541029999189903,3.833674264
454639,Masters of the Universe,2026-06-03,359.8509,7.352,874,en,Action|Fantasy|Science Fiction,200000000,113474410,141,1,0,0,0,0,0,0,0,0,1,2026,1,19.11382792951231,18.547087915722724,5.8884648536262985,6.774223886357614,0.56737205
1273221,Scary Movie,2026-06-03,314.886,6.47,1038,en,Comedy|Horror,30000000,230307286,96,0,0,1,0,1,0,0,0,0,0,2026,1,17.216707972959764,19.254925005627722,5.7553813890038805,6.946013991099227,7.676909533333333
