id,title,release_date,popularity,vote_average,vote_count,original_language,genres,budget,revenue,runtime
1368337,The Odyssey,2026-07-15,979.0823,8.0,1313,en,Adventure|Action|Fantasy,250000000,322043315,173
1275779,Disclosure Day,2026-06-10,558.4583,7.226,1558,en,Science Fiction|Thriller,115000000,237274086,146
1108427,Moana,2026-07-08,515.4828,5.9,138,en,Family|Fantasy|Comedy|Adventure,250000000,183581607,115
1339713,Obsession,2026-05-13,407.6643,8.242,3609,en,Horror|Thriller,750000,447862498,109
1083381,Backrooms,2026-05-27,385.4853,7.087,2041,en,Horror|Mystery|Science Fiction,10000000,387700748,111
1315772,Minions & Monsters,2026-06-24,333.0288,6.399,223,en,Adventure|Animation|Comedy|Family|Fantasy,85000000,363645130,90
1081003,Supergirl,2026-06-24,364.8746,6.145,518,en,Action|Adventure|Science Fiction,175000000,120067228,108
1084244,Toy Story 5,2026-06-17,322.0636,7.423,692,en,Animation|Family|Comedy|Adventure,250000000,958418566,102
454639,Masters of the Universe,2026-06-03,359.8509,7.352,874,en,Action|Fantasy|Science Fiction,200000000,113474410,141
1273221,Scary Movie,2026-06-03,314.886,6.47,1038,en,Comedy|Horror,30000000,230307286,96
1228710,The Mandalorian and Grogu,2026-05-20,217.959,7.2,843,en,Action|Adventure|Science Fiction,165000000,344818222,132
1668364,Desire,2026-05-07,308.5165,7.055,109,es,Mystery|Drama,0,0,97
687163,Project Hail Mary,2026-03-15,183.9877,8.7,6391,en,Science Fiction|Adventure,200000000,683979467,157
1318621,Descendants: Wicked Wonderland,2026-07-16,167.2502,7.7,99,en,Fantasy|Family|TV Movie,0,0,98
1523145,Your Heart Will Be Broken,2026-03-26,162.5813,7.2,117,ru,Romance,3716000,7578000,134
1314481,The Devil Wears Prada 2,2026-04-29,153.6012,7.141,1640,en,Comedy|Drama,100000000,689469075,119
1127384,Deep Water,2026-04-30,146.807,7.364,283,en,Horror|Thriller,0,2286163,107
1280738,The Furious,2026-06-10,122.6649,7.345,245,zh,Action|Crime|Thriller,20000000,36653413,113
1110034,Kraken,2026-02-06,134.2635,6.4,234,no,Horror|Action|Thriller,1000000,14329678,94
1284465,The Death of Robin Hood,2026-06-18,145.96,6.742,99,en,Adventure|Drama|Thriller|Action,25000000,3200000,123
1284465,The Death of Robin Hood,2026-06-18,145.96,6.742,99,en,Adventure|Drama|Thriller|Action,25000000,3200000,123
936075,Michael,2026-04-22,117.9223,8.694,3684,en,Music|Drama,250000000,1010218278,128
83533,Avatar: Fire and Ash,2025-12-17,107.7588,7.642,3910,en,Science Fiction|Adventure|Fantasy,350000000,1490477656,198
1413976,Citizen Vigilante,2026-06-19,96.1332,6.395,275,en,Thriller|Action,0,0,89
931285,Mortal Kombat II,2026-05-06,109.3763,7.98,2096,en,Action|Fantasy|Adventure,80000000,129470110,116
47612,Au Bonheur des Dames,1930-07-03,110.3833,6.278,36,fr,Drama|Romance,0,0,95
1226863,The Super Mario Galaxy Movie,2026-04-01,99.649,8.255,3197,en,Family|Comedy|Adventure|Fantasy|Animation,110000000,1009214136,98
1443894,Forgive Us All,2025-05-08,93.4028,5.388,40,en,Horror|Western|Thriller|Action,0,0,93
1304313,Lee Cronin's The Mummy,2026-04-15,93.5636,7.958,2340,en,Horror|Mystery,22000000,90552113,133
1311031,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025-07-18,86.6785,7.746,911,ja,Animation|Action|Fantasy,20000000,733030221,156
278,The Shawshank Redemption,1994-09-23,93.5973,8.726,30836,en,Drama|Crime,25000000,28341469,142
1321008,Black Box,2026-06-25,71.1855,6.245,49,en,Horror|Thriller|Science Fiction,1000000,224611,85
634649,Spider-Man: No Way Home,2021-12-15,83.8122,7.935,22291,en,Action|Adventure|Science Fiction,200000000,1921206586,148
157336,Interstellar,2014-11-05,72.6471,8.483,40421,en,Adventure|Drama|Science Fiction,165000000,746606706,169
976912,Graphic Desires,2023-08-31,66.9284,7.085,129,en,Thriller|Crime,0,0,90
1595852,Boulevard,2026-04-10,67.0162,7.615,131,es,Romance|Drama,0,0,113
1007757,Swapped,2026-05-01,65.3351,8.901,1989,en,Adventure|Animation|Family|Fantasy,7,7,102
1327819,Hoppers,2026-03-04,64.7443,8.19,2009,en,Adventure|Animation|Comedy|Family|Science Fiction,150000000,389547783,104
1439930,The Punisher: One Last Kill,2026-05-12,62.3141,8.317,1904,en,Action|Drama|Crime,0,0,51
1301421,The Sheep Detectives,2026-04-30,65.5774,7.902,1136,en,Comedy|Family|Mystery,75000000,130574611,109
5721,Vixen!,1968-10-15,70.8216,5.529,105,en,Drama,73000,8000000,72
1290821,Shelter,2026-01-28,62.5463,7.765,1555,en,Action|Crime|Thriller,50000000,53933639,107
1318447,Apex,2026-04-24,61.5971,6.856,1683,en,Action|Thriller,0,0,96
1419406,The Shadow's Edge,2025-08-16,58.5921,7.902,1012,zh,Action|Crime|Drama|Thriller,0,174400000,142
1645603,Night of the Living Dead,2026-07-03,48.956,5.172,64,en,Horror,0,0,87
1212763,Evil Dead Burn,2026-07-07,56.8987,6.824,196,en,Horror|Thriller,20000000,53774454,110
755898,War of the Worlds,2025-07-29,55.514,4.1,1044,en,Science Fiction|Thriller,10000000,0,91
1487861,Elize: Shadows of a Woman,2026-07-22,55.3823,6.3,22,pt,Thriller|Crime|Drama,0,0,93
1380291,Tom Clancy's Jack Ryan: Ghost War,2026-05-20,47.364,6.992,688,en,Action|Thriller,0,0,107
1656220,23 000 Lives,2026-07-02,46.2389,5.235,49,de,Drama,0,0,0
652,Troy,2004-05-13,54.7671,7.181,11223,en,War|Action|History,175000000,497409852,163
1122573,In the Grey,2026-05-13,48.128,7.555,558,en,Action|Thriller,70000000,27225194,97
1468683,Heartstopper Forever,2026-07-14,46.7107,7.143,154,en,Romance|Drama,0,0,110
27205,Inception,2010-07-15,57.0172,8.372,39633,en,Action|Science Fiction|Adventure,160000000,839030630,148
1234821,Jurassic World Rebirth,2025-06-23,52.298,6.275,3557,en,Science Fiction|Adventure|Action,180000000,869146189,134
299536,Avengers: Infinity War,2018-04-25,49.9794,8.239,32347,en,Adventure|Action|Science Fiction,300000000,2052415039,149
1084242,Zootopia 2,2025-11-26,52.1343,7.682,3148,en,Animation|Adventure|Comedy|Mystery|Family,150000000,1868208796,108
